,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
37,E06000038,Reading,38,116808,6999,213,7425,8604,244,455,35774,3477,3252,13087,322,36956,155698,78169,54913,16770,4590,1256
38,E06000039,Slough,39,100458,4977,705,4529,4907,432,428,39226,4031,1566,6169,330,33158,140205,67156,50464,16288,4906,1391
39,E06000040,Windsor and Maidenhead,40,104247,10898,335,6374,984,298,511,43781,2549,1684,6131,406,30296,144560,78802,46571,14234,3872,1081
40,E06000041,Wokingham,41,112273,10842,153,5568,2652,138,511,52016,2800,1943,4456,298,30896,154380,83759,51808,14566,3310,937
41,E06000042,Milton Keynes,42,181385,12488,226,5301,7033,1485,647,79279,8058,3599,9117,550,53602,248821,124826,86778,26929,7955,2333
42,E06000043,Brighton and Hove,43,210792,17356,351,13814,18563,486,1035,48846,4754,6635,27242,741,70969,273369,134673,91970,32298,11151,3277
43,E06000044,Portsmouth,44,153705,7092,115,3401,7070,983,1106,47951,5623,7008,15568,702,57086,205056,97795,71443,25464,7995,2359
44,E06000045,Southampton,45,180201,7767,118,3122,10250,475,1186,58619,7383,5138,17826,724,67593,236882,112653,82880,29278,9223,2848
45,E06000046,Isle of Wight,46,99747,7280,103,775,2529,122,989,32299,2737,1771,9463,1231,40448,138265,56420,50514,22378,6921,2032
46,E06000047,County Durham,47,383796,20652,323,1865,13732,1401,1038,146644,17362,2205,21490,1182,155902,513242,217373,171564,82404,32568,9333
47,E06000049,Cheshire East,48,270953,23337,254,4971,3267,504,1169,116931,8993,4666,16282,762,89817,370127,181595,123065,47306,14247,3914
48,E06000050,Cheshire West and Chester,49,243155,17178,257,3114,5477,783,1001,103898,8767,4200,14669,794,83017,329608,159777,108967,42604,14259,4001
49,E06000051,Shropshire,50,223892,22808,157,1681,2888,541,893,92220,7598,4310,16951,701,73144,306129,142309,106909,41475,11979,3457
50,E06000052,Cornwall,51,388858,38596,208,2320,5812,667,2782,147102,12480,3777,28952,1831,144331,532273,240759,178805,79181,25907,7621
51,E06000053,Isles of Scilly,52,1622,428,0,1,8,1,34,246,25,186,341,41,311,2203,1135,754,248,53,13
52,E06000054,Wiltshire,53,339595,32701,352,5865,6270,522,1894,145883,11356,6638,26680,1055,100379,470981,234318,160362,57221,14974,4106
53,E06000055,Bedford,54,113764,7921,97,3443,3140,319,416,45554,4361,2866,7360,333,37954,157479,73860,56663,19812,5596,1548
54,E06000056,Central Bedfordshire,55,186658,14781,271,8165,2585,249,831,87245,5891,2058,9554,431,54597,254381,125019,90360,29202,7672,2128
55,E06000057,Northumberland,56,233224,17894,659,1852,7593,523,682,90566,9283,2074,14632,1143,86323,316028,138990,108458,48580,15641,4359
56,E08000001,Bolton,57,200723,10086,274,4384,8200,1537,792,76681,8189,1261,11435,528,77356,276786,125548,93765,39139,14465,3869
57,E08000002,Bury,58,134687,7689,4234,523,5671,690,455,55361,4819,1176,7094,324,46651,185060,87128,61634,25430,8539,2329
58,E08000003,Manchester,59,382932,15288,2841,5663,46652,1810,841,91871,9828,8426,29347,1138,169227,503127,245334,159452,62651,27014,8676
59,E08000004,Oldham,60,159765,7349,121,1115,10269,971,489,57766,7097,993,9622,508,63465,224897,101526,74987,32778,12179,3427
60,E08000005,Rochdale,61,152742,7076,181,1804,7904,1493,465,55947,6383,910,8172,418,61989,211699,94233,70158,31303,12453,3552
